"msafips","multigroup"
40,0.22732
80,0.11709
120,0.23754
160,0.08005
200,0.33037
220,0.17793
240,0.11445
280,0.03021
320,0.25744
380,0.33561
440,0.10992
450,0.16646
460,0.06336
480,0.10963
500,0.20366
520,0.23518
560,0.1722
580,0.19578
600,0.23266
640,0.26699
680,0.31054
720,0.17669
730,0.0495
740,0.06211
760,0.17216
840,0.20908
860,0.11858
870,0.12433
875,0.2663
880,0.08617
920,0.18395
960,0.06901
1000,0.13758
1010,0.04084
1020,0.09874
1040,0.07873
1080,0.12503
1120,0.1475
1125,0.13008
1145,0.24497
1150,0.1808
1160,0.19462
1200,0.17966
1240,0.22934
1260,0.28965
1280,0.10814
1305,0.05698
1320,0.11724
1350,0.07183
1360,0.06195
1400,0.14761
1440,0.22156
1480,0.09075
1520,0.21417
1540,0.18348
1560,0.1261
1580,0.12261
1600,0.19356
1620,0.1878
1640,0.09978
1660,0.23512
1680,0.13629
1720,0.20557
1740,0.14418
1760,0.2235
1800,0.25035
1840,0.13707
1880,0.31751
1890,0.11129
1900,0.05326
1920,0.27767
1930,0.11396
1950,0.2535
1960,0.11896
2000,0.11014
2020,0.14807
2030,0.13829
2040,0.13322
2080,0.23298
2120,0.10649
2160,0.10633
2180,0.17398
2190,0.21576
2200,0.03373
2240,0.04417
2281,0.1627
2290,0.0389
2320,0.32608
2330,0.16208
2335,0.07484
2340,0.11435
2360,0.08166
2400,0.09224
2440,0.08153
2520,0.04011
2560,0.37556
2580,0.10476
2600,0.11852
2620,0.12896
2640,0.13799
2650,0.13864
2655,0.22006
2670,0.09763
2680,0.24976
2700,0.13649
2710,0.16534
2720,0.21104
2750,0.18306
2760,0.08334
2800,0.25921
2840,0.39994
2880,0.1164
2900,0.20894
2920,0.30607
2960,0.13661
2975,0.02271
2980,0.26841
2985,0.04251
2995,0.09353
3000,0.1342
3040,0.09786
3060,0.1684
3080,0.10121
3120,0.20531
3150,0.24246
3160,0.19327
3180,0.06631
3200,0.0903
3240,0.10884
3280,0.15133
3285,0.1497
3290,0.15161
3320,0.32362
3350,0.20038
3360,0.33223
3400,0.04087
3440,0.17812
3480,0.11126
3500,0.07933
3520,0.08792
3560,0.16667
3580,0.17783
3600,0.1822
3605,0.25339
3610,0.05454
3620,0.09159
3640,0.43876
3660,0.04821
3680,0.03393
3700,0.10292
3710,0.08151
3720,0.14695
3740,0.12904
3760,0.14257
3800,0.12522
3810,0.34127
3840,0.08273
3850,0.08314
3870,0.06154
3880,0.19108
3920,0.08454
3960,0.15591
3980,0.18843
4000,0.08285
4040,0.13162
4080,0.23767
4100,0.35387
4120,0.23679
4150,0.12841
4160,0.13606
4200,0.30997
4240,0.03286
4280,0.12528
4320,0.08509
4360,0.11052
4400,0.17207
4420,0.21874
4480,0.44841
4520,0.11977
4560,0.13715
4600,0.28633
4640,0.18336
4680,0.23145
4720,0.09425
4760,0.07099
4800,0.07396
4880,0.24295
4890,0.08657
4900,0.15381
4920,0.1987
4940,0.39172
5000,0.23196
5015,0.2558
5080,0.13446
5120,0.13566
5140,0.06377
5160,0.14451
5170,0.32967
5190,0.104
5200,0.1574
5240,0.18374
5280,0.08312
5330,0.13436
5345,0.12979
5350,0.07426
5360,0.15842
5380,0.1757
5400,0.13359
5480,0.19529
5520,0.1096
5560,0.20416
5600,0.32765
5640,0.20505
5660,0.14077
5720,0.25595
5775,0.43638
5790,0.16086
5800,0.31219
5880,0.23983
5910,0.14249
5920,0.12642
5945,0.34551
5960,0.2152
5990,0.0884
6015,0.15306
6020,0.03261
6080,0.21889
6120,0.08567
6160,0.1698
6200,0.23584
6240,0.17465
6280,0.09349
6320,0.0635
6340,0.09432
6400,0.04369
6440,0.18434
6450,0.03862
6480,0.13118
6520,0.0912
6560,0.25563
6580,0.11259
6600,0.16663
6640,0.27124
6660,0.13971
6680,0.09188
6690,0.11583
6720,0.20793
6740,0.20697
6760,0.22668
6780,0.3438
6800,0.12816
6820,0.08926
6840,0.11356
6880,0.13574
6895,0.25873
6920,0.2913
6960,0.1255
6980,0.03234
7000,0.06473
7040,0.11661
7080,0.1711
7120,0.31963
7160,0.15885
7200,0.25816
7240,0.33606
7320,0.31987
7360,0.37164
7400,0.43029
7460,0.16316
7480,0.27714
7485,0.21009
7490,0.24859
7500,0.1953
7510,0.09958
7520,0.20212
7560,0.03399
7600,0.24268
7610,0.05349
7620,0.07075
7640,0.15503
7680,0.19383
7720,0.13294
7760,0.05867
7800,0.18461
7840,0.10437
7880,0.09818
7920,0.05463
8000,0.15976
8040,0.19044
8050,0.04964
8080,0.06531
8120,0.41027
8140,0.24135
8160,0.07232
8200,0.24613
8240,0.23744
8280,0.17162
8320,0.06322
8360,0.20835
8400,0.11969
8440,0.2099
8480,0.2569
8520,0.27025
8560,0.24011
8600,0.18222
8640,0.22894
8680,0.0552
8720,0.38517
8735,0.30679
8750,0.3083
8760,0.25723
8780,0.34977
8800,0.27402
8840,0.2714
8880,0.16781
8920,0.10638
8940,0.06913
8960,0.19347
9000,0.0425
9040,0.15344
9080,0.19889
9140,0.05558
9160,0.19175
9200,0.13205
9240,0.11095
9260,0.2905
9270,0.32822
9280,0.08317
9320,0.09531
9340,0.28165
9360,0.2853
